Text,Category,Score,Label
"['dilan', 'çıtak', 'tatlıses', 'kız', 'çocuk', 'yap', 'şiddet', 'herkes', 'bil', 'paylaşım', 'art', 'sessizlik', 'bürü', 'bodrum', 'görün', 'şarkıcı', 'kısa', 'süre', 'sil', 'paylaşım', 'ilgili', 'soru', 'konuş', 'yok', 'de', 'yanıtsız', 'bırak']",entertainment,-0.8402,negatif
"['orban', 'türkiye', 'rusyaukrayna', 'savaş', 'başarı', 'arabuluculuk', 'yap', 'tek', 'ülke']",politics,-0.25,negatif
"['macaristan', 'başbakan', 'viktor', 'orban', 'nato', 'zirve', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'görüş', 'dair', 'yap', 'açıkla', 'türkiye', 'rusyaukrayn', 'savaş', 'taraf', 'ara', 'başarı', 'arabuluculuk', 'yap', 'tek', 'ülke', 'i', 'de', 'orban', 'ukrayna', 'barış', 'misyon', 'e']",politics,-0.7906,negatif
"['istanbul', 'sokak', 'orta', 'deve', 'gör']",other,-0.6124,negatif
"['sosyal', 'medya', 'yay', 'video', 'izleyen', 'şaşır', 'istanbul', 'sokak', 'orta', 'gez', 'deve', 'gündem', 'ol']",other,-0.7184,negatif
"['kapine', 'bugün', 'topla', 'emekli', 'ek', 'zam', 'masa']",politics,-0.25,negatif
"['kapine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'kapine', 'konu', 'masa', 'yatır', 'en', 'önem', 'li', 'gündem', 'konu', 'emekli', 'ek', 'zam', 'ol', 'kabine', 'ardından', 'milyonlarca', 'emekli', 'ilgilen', 'ek', 'zam']",politics,-0.9584,negatif
"['kapine', 'karar', 'sonuç']",politics,0.0,nötr
"['kapine', 'bugün', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'kapine', 'konu', 'masa', 'yatır', 'en', 'önem', 'li', 'gündem', 'konu', 'emekli', 'ek', 'zam', 'ol', 'kabine', 'ardından', 'milyonlarca', 'emekli', 'ilgilen', 'ek', 'zam']",politics,-0.9584,negatif
"['beşiktaş', 'sağlık', 'kontrol', 'devam', 'et']",sports,0.25,pozitif
"['beşiktaş', 'takım', 'ayrıl', 'gündem', 'ol', 'futbolcu', 'vincent', 'aboubakar', 'arthur', 'masua', 'ki', 'omar', 'colley', 'kulüp', 'sponsor', 'hastane', 'sağlık', 'kontrolü', 'geç']",sports,-0.25,negatif
"['uraz', 'erkek', 'rol', 'arkadaş', 'öpüş']",entertainment,0.0,nötr
"['uraz', 'kaygılaroğlu', 'aşık', 'shakespear', 'adlı', 'tiyatro', 'oyun', 'prova', 'erkek', 'rol', 'arkadaş', 'öpüş', 'anla', 'sosyal', 'medya', 'gündem', 'ol']",entertainment,0.6124,pozitif
"['kadir', 'inanır', 'haber', 'var']",entertainment,0.25,pozitif
"['kadir', 'inanır', 'sağlık', 'durum', 'iyi', 'git', 'hatta', 'entübe', 'et', 'ön', 'sür', 'hayat', 'arkadaş', 'jüli', 'kural', 'iddia', 'yalanla', 'akci', 'gör', 'enfeksiyon', 'neden', 'gün', 'i', 'tedbir', 'amaçlı', 'yoğun', 'bakım', 'entübelik', 'durum', 'yok', 'hatta', 'kadir', 'bey', 'gün']",entertainment,-0.7184,negatif
"['biden', 'bekle', 'göz', 'de']",politics,-0.4588,negatif
"['italya', 'başbakan', 'giorgia', 'meloni', 'nato', 'zirve', 'lider', 'birlikte', 'abd', 'başkan', 'joe', 'biden', 'bekle', 'göz', 'devir', 'sosyal', 'medya', 'dünya', 'çap', 'gündem', 'ol']",politics,-0.25,negatif
"['kapine', 'topla', 'masa', 'ki', 'konu']",politics,-0.25,negatif
"['kapine', 'bugün', 'saat', 'cumhurbaşkanı', 'recep', 'tayyip', 'erdoğan', 'başkanlık', 'cumhurbaşkanlığı', 'külliye', 'topla', 'masa', 'ki', 'en', 'önem', 'li', 'gündem', 'madde', 'emekli', 'maaş', 'ol']",politics,-0.9001,negatif
"['vergi', 'paket', 'uzman', 'göz']",politics,0.0,nötr
"['ak', 'parti', 'myk', 'dün', 'cumhurbaşkanı', 'tayyip', 'erdoğan', 'başkanlık', 'topla', 'gündem', 'vergi', 'paket', 'var', 'ak', 'parti', 'sözcü', 'çelik', 'tartış', 'yurtdışı', 'harcı', 'gündem', 'ol', 'henüz', 'son', 'karar', 'ver', 'belir', 'vergi', 'adalet', 'hedefle', 'uzman']",politics,0.25,pozitif
"['savcı', 'krist', 'cezaevi', 'koşul', 'gayet', 'uygun', 'porscheli', 'yaşam', 'sonra', 'zor']",politics,0.0,nötr
"['eylem', 'tok', 'oğul', 'timur', 'cihantimur', 'dava', 'abdde', 'sür', 'amerikalı', 'savcı', 'gündem', 'ol', 'avukat', 'timur', 'cihanti', 'kal', 'ıslahevi', 'koşul', 'şikâyet', 'et', 'savcı', 'krist', 'kearney', 'anne', 'porsche', 'dolaş', 'çocuk', 'için', 'koşul', 'elbet']",politics,-0.9584,negatif
"['cumhurbaşkanlığı', 'kabine', 'bugün', 'topla', 'toplantı', 'ana', 'gündem', 'ekonomi']",economics,-0.4588,negatif
"['cumhurbaşkanlığı', 'kapine', 'toplantı', 'ay', 'ara', 'ardından', 'bugün', 'cumhurbaşkanı', 'erdoğan', 'başkanlık', 'yap', 'toplantı', 'ki', 'ana', 'gündem', 'madde', 'yarın', 'açıkla', 'enflasyon', 'rakam', 'olacak', 'toplantı', 'tasarruf', 'tedbir', 'en', 'düşük', 'emekli', 'aylık', 'yap']",economics,-0.8402,negatif
"['serbest', 'bırak']",entertainment,-0.4588,negatif
"['justin', 'timberlake', 'alkollü', 'araç', 'kullan', 'polis', 'yakalan', 'ardından', 'gözaltı', 'al', 'sabık', 'fotoğraf', 'gündem', 'ol', 'ünlü', 'şarkıcı', 'mahkeme', 'çık', 'sonra', 'serbest', 'bırak']",entertainment,-0.25,negatif
"['paris', 'beledi', 'başkan', 'söz', 'tut', 'sen', 'nehir', 'yüz']",politics,-0.25,negatif
"['paris', 'beledi', 'başkan', 'hidalgo', 'olimpiyat', 'yap', 'kirlilik', 'gündem', 'ol', 'sen', 'nehir', 'yüz', 'hidalgo', 'ten', 'yan', 'yüz', 'yasak', 'ol', 'nehir', 'temiz', 'olimpiyat', 'hazır', 'ol', 'kanıtla', 'için', 'ver', 'söz', 'tut', 'nehir', 'yüz']",politics,-0.7184,negatif
"['ankara', 'simge', 'kuğul', 'park', 'ki', 'tel', 'örgü', 'gündem', 'ol', 'neden', 'belli', 'ol']",other,-0.25,negatif
"['ankara', 'simge', 'kuğulu', 'park', 'iki', 'kuğu', 'ara', 'çek', 'tel', 'örgü', 'sosyal', 'medya', 'gündem', 'ol', 'tel', 'örgü', 'iki', 'farklı', 'taraf', 'ol', 'rağmen', 'sürekli', 'karşı', 'karşı', 'gel', 'kuğu', 'park', 'gel', 'ziyaretçi', 'dikkat', 'çek', 'bazı', 'ziyaretçi', 'kuğu']",other,0.7184,pozitif
"['azem', 'isim', 'anlam', 'ne']",entertainment,0.0,nötr
"['bilhassa', 'inci', 'tane', 'dizi', 'iyi', 'ce', 'gündem', 'ol', 'anlam', 'üzer', 'araştır', 'yap', 'azem', 'isim', 'yeni', 'bebek', 'heyecan', 'yaşa', 'kişi', 'taraf', 'merak', 'et', 'dikkat', 'çekici', 'duy', 'erkek', 'isim', 'ol', 'azem', 'detay', 'aşağı']",entertainment,-0.25,negatif
"['meloni', 'nato', 'zirve', 'biden', 'bekle', 'göz', 'devir', 'gündem', 'ol']",politics,-0.7906,negatif
"['italya', 'başbakan', 'giorgia', 'meloni', 'nato', 'zirve', 'lider', 'birlikte', 'abd', 'başkan', 'joe', 'biden', 'bekle', 'göz', 'devir', 'sosyal', 'medya', 'dünya', 'çap', 'gündem', 'ol', 'anadolu', 'ajan']",politics,0.0,nötr
"['avrupa', 'gündem', 'felaket', 'senaryo']",politics,-0.25,negatif
"['avrupa', 'gündem', 'Yransa', 'seçim', 'başta', 'ol', 'üzere', 'aşırı', 'sağ', 'parti', 'tek', 'tek', 'iktidar', 'yürü', 'batı', 'medya', 'manşet', 'gün', 'i', 'felaket', 'senaryo', 'konuş', 'fransa', 'pazar', 'gün', 'gerçekleş', 'için', 'tıkla']",politics,0.25,pozitif
"['aha', 'dayı', 'sor', 'söz', 'gündem', 'ol', 'cezaevi', 'izinli', 'çık', 'gaspç', 'hüseyin', 'sahte', 'dava', 'aç', 'dolandırıcı']",other,-0.4588,negatif
"['adana', 'gerçekleş', 'gasp', 'sonra', 'kere', 'hacca', 'git', 'gel', 'aha', 'dayı', 'sor', 'de', 'sosyal', 'medya', 'ünle', 'hüseyin', 'taşkıran', 'tane', 'çocuk', 'çık', 'ben', 'üzer', 'prim', 'kas', 'hacca', 'git', 'ben', 'fotoğraf', 'kendi', 'fotoğraf', 'birleş']",other,0.25,pozitif
"['diploma', 'trafik', 'temmuz', 'maraton']",politics,0.0,nötr
"['cumhurbaşkanı', 'erdoğanı', 'bayram', 'sonra', 'yoğun', 'diploma', 'trafik', 'bekle', 'temmuz', 'astana', 'temmuz', 'azerbaycan', 'ol', 'erdoğan', 'temmuz', 'i', 'nato', 'zirve', 'için', 'abdyi', 'ziyaret', 'et', 'ardından', 'chp', 'lider', 'özel', 'davet', 'et', 'kktcdeki']",politics,-0.4588,negatif
"['dua', 'et', 'transformers', 'gündem', 'ol']",other,0.0,nötr
"['optimus', 'prim', 'bumblebee', 'kocaeli', 'mevlüt', 'fatiha', 'oku', 'görüntülen']",other,-0.25,negatif
"['modern', 'sanat', 'etkinlik', 'gündem', 'ol']",entertainment,0.4588,pozitif
"['modern', 'sanat', 'etkinlik', 'kaydet', 'sosyal', 'medya', 'yay', 'görüntü', 'kullanıcı', 'tepki', 'çek']",entertainment,0.0,nötr
"['can', 'yaman', 'dans', 'gündem', 'ol']",entertainment,-0.4588,negatif
"['kariyer', 'italya', 'devam', 'et', 'can', 'yaman', 'dans', 'eğitme', 'sevgili', 'mariagiulia', 'venanzi', 'performans', 'sosyal', 'medya', 'gündem', 'ol']",entertainment,0.0,nötr
"['rebel', 'wilson', 'bodrum', 'tatil', 'yap']",entertainment,0.5267,pozitif
"['hollywood', 'film', 'ad', 'duyur', 'rebel', 'wilson', 'arkadaş', 'birlikte', 'bodrum', 'tatil', 'yap']",entertainment,0.7506,pozitif
"['kapine', 'toplantı', 'zaman']",politics,0.0,nötr
"['cumhurbaşkanı', 'erdoğan', 'liderlik', 'topla', 'kapine', 'toplantı', 'için', 'geri', 'say', 'sür', 'ülke', 'gündem', 'dair', 'önem', 'li', 'karar', 'al', 'yeni', 'kapine', 'toplantı', 'yargı', 'paket', 'gazze', 'ki', 'son', 'geliş', 'emekli', 'memur', 'maaş', 'ilişkin', 'konu', 'yer']",politics,-0.9719,negatif
"['engelli', 'birey', 'ötv', 'istisna', 'kalk']",economics,-0.6124,negatif
"['son', 'gün', 'türkiye', 'yeni', 'ana', 'gündem', 'madde', 'vergi', 'paket', 'ol', 'vergi', 'adaletsizlik', 'bitir', 'kazanan', 'kazanan', 'vergi', 'al', 'amaç', 'hayat', 'geçir', 'çalış', 'vergi', 'paket', 'engelli', 'birey', 'araba', 'alım', 'uygula']",economics,0.4588,pozitif
"['asgari', 'ücret', 'ara', 'zam', 'var', 'mi']",economics,0.25,pozitif
"['ekonomi', 'gündem', 'konu', 'ol', 'asgari', 'ücret', 'zam', 'hak', 'son', 'geliş', 'merak', 'et', 'emekli', 'memur', 'zam', 'netleşme', 'sonra', 'göz', 'asgari', 'ücret', 'dön', 'hükümet', 'taraf', 'yap', 'açıkla', 'sene', 'zam', 'ol', 'işaret']",economics,-0.4588,negatif
"['kapine', 'toplantı', 'karar', 'bekle']",politics,-0.25,negatif
"['bayram', 'sonra', 'ilk', 'kez', 'cumhurbaşkanı', 'erdoğan', 'liderlik', 'kapine', 'toplantı', 'gerçekleş', 'hafta', 'yap', 'bekle', 'yeni', 'kapine', 'toplantı', 'tarih', 'belli', 'ol', 'murat', 'kurum', 'kemal', 'memişoğlu', 'i', 'ilk', 'kez', 'toplantı', 'kat', 'toplantı', 'ana', 'gündem', 'madde', 'em']",politics,0.7184,pozitif
"['hülya', 'avşarın', 'dans', 'gündem', 'ol']",entertainment,-0.25,negatif
"['hülya', 'avşar', 'önce', 'ev', 'bahçe', 'ki', 'havuz', 'yüz', 'sonra', 'komşu', 'çocuk', 'eğlen', 'havuz', 'baş', 'dans', 'et']",entertainment,-0.4588,negatif
"['bin', 'tllik', 'kabe', 'soru', 'gündem', 'ol']",entertainment,0.25,pozitif
"['kim', 'milyoner', 'ol', 'ister', 'dokuzuncu', 'soru', 'gel', 'yarışmacı', 'kabe', 'tam', 'olarak', 'güneyi', 'kal', 'hangi', 'il', 'sınır', 'içeri', 'ol', 'diye', 'sor', 'yiğit', 'ata', 'cankoy', 'isim', 'li', 'genç', 'kazan', 'para', 'ödül', 'yarışma', 'çek']",entertainment,0.6124,pozitif
"['kapine', 'toplantı', 'karar', 'açıkla']",politics,-0.25,negatif
"['bayram', 'sonra', 'ilk', 'kez', 'cumhurbaşkanı', 'erdoğan', 'liderlik', 'kapine', 'toplantı', 'gerçekleş', 'kapsam', 'murat', 'kurum', 'kemal', 'memişoğlu', 'i', 'ilk', 'kez', 'toplantı', 'kat', 'toplantı', 'ana', 'gündem', 'madde', 'gündem', 'ki', 'yer', 'al', 'peki', 'temmuz', 'kapine', 'toplantı', 'kara']",politics,0.0,nötr
"['trump', 'fotoğraf', 'tişört', 'basıl']",politics,0.4588,pozitif
"['eski', 'abd', 'başkan', 'trumpa', 'seçim', 'miting', 'düzenle', 'silahlı', 'saldır', 'dünya', 'gündem', 'otur', 'trump', 'saldırı', 'hemen', 'sonra', 'sağ', 'yumruk', 'gökyüzü', 'kal', 'an', 'çek', 'fotoğraf', 'gündem', 'ol', 'dünya', 'dört', 'yan', 'gazet', 'manşet', 'yer', 'al']",politics,-0.8402,negatif
"['cumhurbaşkanı', 'erdoğan', 'nato', 'zirve', 'kat']",politics,-0.6124,negatif
"['cumhurbaşkanı', 'erdoğan', 'washington', 'bugün', 'başla', 'temmuz', 'sonra', 'er', 'nato', 'zirve', 'kat', 'yaşın', 'kutla', 'hazırla', 'naton', 'yılki', 'zirve', 'gündem', 'rusyaukrayn', 'savaş', 'ana', 'gündem', 'madde', 'olacak', 'cumhurbaşkanı', 'erdoğan', 'zirve', 'kapsam']",politics,-0.7906,negatif
"['stoltenberg', 'washington', 'zirve', 'ki', 'en', 'acil', 'görev', 'ukrayna', 'destek', 'ol']",politics,-0.4588,negatif
"['nato', 'genel', 'sekreter', 'jens', 'stoltenberg', '<UNK>ashingtonda', 'ki', 'nato', 'zirve', 'en', 'önem', 'li', 'gündem', 'madde', 'müttefik', 'ukrayna', 'en', 'acil', 'ihtiyaç', 'ülke', 'uzun', 'vade', 'li', 'destek', 'için', 'anlaşma', 'olacak', 'söyle', 'anadolu', 'ajan']",politics,-0.4588,negatif
"['dünya', 'iki', 'farklı', 'gündem']",politics,0.0,nötr
"['euro', 'israil', 'saldırı', 'sür', 'gazze', 'ki', 'yık', 'insani', 'kriz', 'son', 'dönem', 'dünya', 'gündem', 'yer', 'al', 'iki', 'önem', 'li', 'konu', 'başlık', 'ol', 'iki', 'önem', 'li', 'gündem', 'madde', 'yansı', 'bazı', 'fotoğraf', 'ara', 'i', 'benzerlik', 'göz', 'çarp']",politics,-0.9638,negatif
"['istiklal', 'marşı', 'oku', 'japon', 'gündem', 'ol']",other,-0.6124,negatif
"['önce', 'müslüman', 'ol', 'haber', 'konu', 'ol', 'japon', 'uyruklu', 'masatak', 'kobayashi', 'kez', 'yeğen', 'birlikte', 'istiklal', 'marş', 'oku']",other,0.4588,pozitif
"['yal', 'çapkın', 'yeni', 'yıldız', 'poz', 'gündem', 'ol']",entertainment,-0.4588,negatif
"['yal', 'çapkı', 'serpil', 'karakter', 'kat', 'ol', 'oyuncu', 'türkü', 'su', 'demirel', 'paylaşım', 'gündem']",entertainment,-0.4588,negatif
"['bakan', 'şimşek', 'makam', 'araç', 'ilgili', 'iddia', 'yanıt']",politics,-0.6124,negatif
"['bakan', 'şimşek', 'bilinçli', 'şekil', 'suni', 'gündem', 'oluş', 'iste', 'belir', 'bu', 'karşı', 'biz', 'makrofinansal', 'istikrar', 'tesis', 'et', 'sür', 'yüksek', 'büyü', 'ulaş', 'için', 'uygulama', 'koy', 'program', 'kararlılık', 'devam', 'et', 'de', 'anadolu']",politics,-0.6124,negatif
"['montel', 'ara', 'ara', 'ki', 'görüntü', 'gündem', 'ol']",sports,-0.7184,negatif
"['milli', 'futbol', 'takım', 'italyan', 'teknik', 'direktör', 'vincenzo', 'montella', 'çekya', 'maçı', 'antrenma', 'ara', 'gü', 'el', 'yelek', 'çek', 'al', 'tepki', 'çek']",sports,-0.25,negatif
"['zil', 'zura', 'sarhoş', 'ol', 'balotelli', 'gündem', 'ol']",sports,0.25,pozitif
"['son', 'olarak', 'süper', 'lig', 'ekip', 'adana', 'demirspor', 'forma', 'git', 'şu', 'an', 'kulüpsüz', 'ol', 'mario', 'balotelli', 'italya', 'görüntü', 'olay', 'ol']",sports,0.0,nötr
"['mert', 'günok', 'merih', 'konuş', 'gündem', 'ol']",sports,0.4588,pozitif
"['milli', 'takım', 'aleci', 'mert', 'günok', 'yap', 'kurtarış', 'ayyıldızlı', 'oyuncu', 'şaşk', 'çevir', 'merih', 'demiral', 'takım', 'arkadaş', 'yan', 'git', 'ara', 'geç', 'konuş']",sports,-0.4588,negatif
"['nike', 'suud', 'arabis', 'reklam', 'gündem', 'ol']",sports,-0.6124,negatif
"['ünlü', 'spor', 'giyim', 'marka', 'nike', 'yeni', 'reklam', 'suudi', 'arabistan', 'ki', 'kadın', 'sosyal', 'hayat', 'ki', 'değişim', 'mücadele', 'konu', 'al']",sports,0.0,nötr
"['hüseyin', 'yücel', 'i', 'maria', 'açıklama']",sports,0.0,nötr
"['beşiktaş', 'ikinci', 'başkan', 'hüseyin', 'yücel', 'angel', 'i', 'maria', 'transfer', 'için', 'çarpıcı', 'açıklama', 'bulun']",sports,0.0,nötr
"['avustralyalya', 'poli', 'gözaltın', 'ki', 'yerli', 'halk', 'mensup', 'çocuk', 'sert', 'muamele', 'gündem', 'ol']",other,-0.7906,negatif
"['avustralyalya', 'poli', 'gözaltı', 'al', 'first', 'nations', 'ilk', 'halk', 'yerli', 'halk', 'mensup', 'çocuk', 'sert', 'müdahale', 'ilişkin', 'görüntü', 'tepki', 'çek', 'anadolu', 'ajan']",other,-0.7184,negatif
"['hepsibura', 'nasdaq', 'üst', 'yönetici', 'ağırla']",economics,0.6124,pozitif
"['hepsibura', 'nasdaq', 'küresel', 'listeleme', 'başkan', 'karen', 'snowu', 'ağırla', 'ceo', 'nilhan', 'onal', 'gökçetek', 'ev', 'sahiplik', 'gerçekleş', 'ziyaret', 'nasdaq', 'hepsibura', 'ara', 'ki', 'iş', 'birlik', 'fırsat', 'değerlen', 'belir']",economics,0.8402,pozitif
"['cami', 'sabun', 'çal', 'adam', 'gündem', 'ol']",other,-0.6124,negatif
"['cami', 'tuvalet', 'kullan', 'kişi', 'sabunluk', 'kıyafet', 'alt', 'sakla', 'çal', 'cami', 'hız', 'çık', 'şahıs', 'lüks', 'araç', 'bin', 'uzaklaş']",other,-0.875,negatif
"['imamoğlu', 'bakan', 'görüş', 'sosyal', 'medya', 'gündem', 'ol']",politics,0.0,nötr
"['ibb', 'başkan', 'ekrem', 'imamoğlu', 'beril', 'almanya', 'dışişleri', 'bakan', 'annalena', 'Baerbock', 'görüş']",politics,0.4588,pozitif
"['şırnak', 'uluder', 'spor', 'kulüp', 'stat', 'gündem', 'ol']",sports,-0.25,negatif
"['şırnak', 'uluder', 'spor', 'kulüp', 'stadyum', 'hava', 'görüntülen', 'eşsiz', 'manzara', 'dikkat', 'çek', 'stat', 'sosyal', 'medya', 'gündem', 'ol']",sports,-0.25,negatif
"['oryantal', 'solmaz', 'son', 'dans', 'gündem', 'ol']",entertainment,-0.25,negatif
"['seda', 'say', 'uğur', 'arsla', 'sun', 'evleneceksen', 'gel', 'adlı', 'evlilik', 'program', 'tanı', 'solmaz', 'çiros', 'dans', 'güzellik', 'dikkat', 'çek', 'sol', 'son', 'dans', 'sosyal', 'medya', 'gündem', 'ol']",entertainment,0.4588,pozitif
"['ateş', 'düş', 'pişmanlık']",entertainment,-0.6124,negatif
"['ebru', 'Yaşar', 'kaçır', 'şarkı', 'yaşa', 'pişmanlık', 'açıkla', 'Yaşar', 'mert', 'demir', 'ateş', 'düş', 'adlı', 'şarkı', 'seslen', 'önce', 'ilk', 'olarak', 'kendi', 'gönder', 'söyle']",entertainment,0.7906,pozitif
"['Yransa', 'arjantin', 'fifa', 'şikayet', 'et']",sports,-0.4588,negatif
"['copa', 'america', 'sonra', 'şampiyonluk', 'sevinci', 'yaşa', 'arjantin', 'milli', 'takım', 'otobüs', 'Yransa', 'milli', 'takım', 'karşı', 'tezahürat', 'bulun', 'arjantinli', 'anne', 'nijeryalı', 'baba', 'kamerunlu', 'pasaport', 'Yransa', 'yaz', 'ifade', 'kullan', 'hareket', 'sonr']",sports,0.4588,pozitif
"['ibrahim', 'tatlıses', 'oxford', 'söz', 'gündem', 'ol']",entertainment,-0.25,negatif
